Nationality,Accomodation Type,2009,2009_Percentage,2010,2010_Percentage,2011,2011_Percentage,2012,2012_Percentage,2013,2013_Percentage,2014,2014_Percentage,2015,2015_Percentage,2016,2016_Percentage,2017,2017_Percentage,2018,2018_Percentage,2019,2019_Percentage,Total,Total_Percentage
International,Hotels and Similar,2685268,52.0405717,2850792,52.46693569,2759850,50.69827815,2855375,49.90851598,3029572,50.44912727,3248598,50.63670797,3482953,50.56840496,3931285,51.46635083,4175785,51.33049444,4336315,50.87457793,4355614,50.01509428,37711407,50.91151912
International,Guest House/B&B,115194,2.23246306,113391,2.086886137,115203,2.116272166,110584,1.932875133,100507,1.673665599,108828,1.696329203,122202,1.77423015,167615,2.194328927,165030,2.028617732,166848,1.957496533,159529,1.831856077,1444931,1.950699751
International,Rented Accomodation,686986,13.3138086,737760,13.57798341,796966,14.64021738,854770,14.94035011,857657,14.28190093,846960,13.20177695,961408,13.95851999,1053929,13.79749361,1059790,13.02738161,1220696,14.32146737,1219796,14.00679949,10296718,13.90087501
International,Commercial Caravan Park/Campsite,231290,4.482406907,235157,4.327908594,210856,3.873412011,205707,3.595510606,218099,3.631834533,209139,3.2599018,216266,3.139929441,242105,3.169513497,270467,3.324693403,277777,3.258939361,287811,3.304905875,2604674,3.516387234
International,Backbacker or Hostel,559581,10.84469601,575984,10.60060344,557112,10.23411386,558569,9.763113379,571907,9.523526436,571842,8.913444003,573158,8.32158397,613818,8.035787925,629414,7.737019944,605490,7.103738587,606605,6.965586543,6423480,8.671888717
International,Other Commercial Accomodation,111217,2.155388685,98663,1.815827067,82020,1.506702456,91067,1.591741479,90718,1.510656927,84744,1.320925883,89308,1.296647733,125327,1.640716293,148718,1.828103811,167279,1.962553118,164672,1.890912649,1253733,1.692576774
International,Own Property,56060,1.086444426,70028,1.288818887,68799,1.263833483,81947,1.432334863,67103,1.117414535,62311,0.971257112,80999,1.176010768,98010,1.283096251,99109,1.218289249,100647,1.180812198,76912,0.883173057,861925,1.163624341
International,Friends'/Relative's Property,2244719,43.50271931,2351474,43.27731912,2363641,43.4199427,2495688,43.62162043,2645392,44.05167387,2793886,43.54899852,3007818,43.67000034,3150386,41.24322483,3328768,40.91860748,3357616,39.39227129,3337704,38.3265322,31077092,41.9549969
International,Non-Commerical Caravan Park/Campsite,147490,2.858360477,131945,2.428360199,122016,2.241426565,120958,2.114200158,127116,2.116764765,117665,1.834073728,142539,2.06949961,160006,2.094715832,165603,2.035661288,173362,2.033920179,173441,1.991606227,1582141,2.135937325
International,Other Private Accomodation,215004,4.166783754,227625,4.18928713,224515,4.124327017,232396,4.062002182,235095,3.91485582,297075,4.630582184,366120,5.315634298,471282,6.169780301,705773,8.675656686,895981,10.51184132,1087640,12.48926492,4958506,6.694130321
International,Other,333882,6.470642841,343872,6.328736053,361138,6.634083292,391646,6.845500381,398105,6.629335699,455539,7.100600109,439122,6.375537977,495388,6.485363591,481873,5.923384309,564828,6.626683279,588928,6.762603261,4854321,6.553477477
,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Resident,Hotels and Similar,24934.696,36.38017526,24992.23,36.67595571,25893.943,36.48222415,26365.481,35.93557584,26760.368,35.55325694,27738.092,34.52941891,29128.202,34.14099448,29850.702,33.51344243,31769.399,34.02831565,34085.211,33.5857572,37374.826,32.98157063,318893.15,34.69300618
Australian Resident,Guest House/B&B,1170.903,1.708368787,1157.554,1.698703927,1119.145,1.576774103,1114.743,1.519370408,1088.368,1.445982624,1131.083,1.408014608,1146.445,1.343741451,1231.684,1.382814073,1483.087,1.588539732,1686.657,1.661942257,1547.29,1.365412495,13876.959,1.509701367
Australian Resident,Rented Accomodation,5739.362,8.373833612,5845.292,8.577932842,5716.281,8.053723018,5892.457,8.031290436,6172.313,8.200404045,6011.943,7.483892487,5819.179,6.820625528,6662.048,7.479494522,6854.781,7.342180177,8070.193,7.951939705,9502.365,8.385401511,72286.214,7.864157851
Australian Resident,Commercial Caravan Park/Campsite,5216.683,7.611235438,5680.162,8.335605504,5714.733,8.051542026,5732.066,7.812680999,6130.852,8.14531984,6234.641,7.761115323,6600.528,7.736440102,6824.174,7.661513704,6404.626,6.860017564,6652.088,6.55461433,7064.895,6.234445973,68255.448,7.425642976
Australian Resident,Own Property,2503.888,3.653218162,2193.719,3.219270185,2601.289,3.664980972,2750.034,3.748236391,3025.067,4.019039809,3083.716,3.838725517,2998.248,3.514228871,3340.437,3.750315255,3370.491,3.610144833,3888.332,3.831355906,4734.522,4.177998628,34489.743,3.752206239
Australian Resident,Friends'/Relative's Property,27515.151,40.14510607,26740.4,39.24138527,28671.414,40.39542963,29678.544,40.45120848,30102.847,39.99400359,32646.272,40.63930575,34544.529,40.48943955,35509.356,39.86642451,37335.939,39.99065634,39875.733,39.29143014,44198.329,39.00299923,366818.514,39.90689977
Australian Resident,Other,5768.035,8.41566804,6031.378,8.851012991,5860.569,8.257011763,6881.769,9.379701125,6963.512,9.251574243,8710.135,10.84270325,10522.521,12.33338506,11375.407,12.77119203,12012.227,12.86633883,13236.041,13.04209205,15612.429,13.7772529,102974.023,11.20274429
