Type of Trip,Purpose of Trip,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,,,
Daytrip,Holiday,73614,77795,74745,78585,79400,81696,86031,93409,91668,101015,106145,944103,,,
Daytrip,Visiting Family and Friends,42171,43676,47144,49056,50622,49844,48683,51223,51220,56897,63515,554050,,,
Daytrip,Business,14850,15712,15213,19599,17181,18068,16968,18864,18708,19462,28991,203616,,,
Daytrip,Other,14090,17892,19184,21606,20655,21671,24134,24701,25475,24487,28668,242564,,,
Overnight,Holiday,30899,31165,30955,31074,32690,34351,34822,36890,37639,40826,45340,386652,,,
Overnight,Visiting Family and Friends,23069,22475,23608,25886,26135,27767,29064,30186,32068,34326,38368,312953,,,
Overnight,Business,12715,12490,13534,14101,14139,15284,17677,18420,19747,22419,25591,186116,,,
Overnight,Other,3321,3680,4223,4167,3935,4917,5626,5648,6653,6491,6903,55563,,,
International,Holiday,2176246,2267039,2167893,2298344,2462304,2635741,2878950,3532457,3737057,3900372,4007846,32064249,,,
International,Visiting Family and Friends,1554104,1589600,1613847,1722376,1866732,2038931,2173909,2217044,2415303,2563456,2612238,22367540,,,
International,Business,697109,806709,839618,858501,835370,852658,802954,818300,927657,996195,1013331,9448402,,,
International,Other,732493,770154,822318,841996,840796,888170,1031793,1070753,1055079,1063517,1075183,10192252,,,
