Type of Trip,Purpose of Trip,Year,Visitors,Percentage,,,,,,,,,,,,,
Daytrip,Holiday,2009,73614,50.86,,,,,,,,,,,,,
Daytrip,Holiday,2010,77795,50.17,,,,,,,,,,,,,
Daytrip,Holiday,2011,74745,47.83,,,,,,,,,,,,,
Daytrip,Holiday,2012,78585,46.54,,,,,,,,,,,,,
Daytrip,Holiday,2013,79400,47.30,,,,,,,,,,,,,
Daytrip,Holiday,2014,81696,47.70,,,,,,,,,,,,,
Daytrip,Holiday,2015,86031,48.93,,,,,,,,,,,,,
Daytrip,Holiday,2016,93409,49.63,,,,,,,,,,,,,
Daytrip,Holiday,2017,91668,49.00,,,,,,,,,,,,,
Daytrip,Holiday,2018,101015,50.04,,,,,,,,,,,,,
Daytrip,Holiday,2019,106145,46.69,,,,,,,,,,,,,
Daytrip,Holiday,Total,944103,48.56,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2009,42171,29.14,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2010,43676,28.16,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2011,47144,30.17,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2012,49056,29.05,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2013,50622,30.16,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2014,49844,29.10,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2015,48683,27.69,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2016,51223,27.22,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2017,51220,27.38,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2018,56897,28.19,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,2019,63515,27.94,,,,,,,,,,,,,
Daytrip,Visiting Family and Friends,Total,554050,28.50,,,,,,,,,,,,,
Daytrip,Business,2009,14850,10.26,,,,,,,,,,,,,
Daytrip,Business,2010,15712,10.13,,,,,,,,,,,,,
Daytrip,Business,2011,15213,9.73,,,,,,,,,,,,,
Daytrip,Business,2012,19599,11.61,,,,,,,,,,,,,
Daytrip,Business,2013,17181,10.24,,,,,,,,,,,,,
Daytrip,Business,2014,18068,10.55,,,,,,,,,,,,,
Daytrip,Business,2015,16968,9.65,,,,,,,,,,,,,
Daytrip,Business,2016,18864,10.02,,,,,,,,,,,,,
Daytrip,Business,2017,18708,10.00,,,,,,,,,,,,,
Daytrip,Business,2018,19462,9.64,,,,,,,,,,,,,
Daytrip,Business,2019,28991,12.75,,,,,,,,,,,,,
Daytrip,Business,Total,203616,10.47,,,,,,,,,,,,,
Daytrip,Other,2009,14090,9.74,,,,,,,,,,,,,
Daytrip,Other,2010,17892,11.54,,,,,,,,,,,,,
Daytrip,Other,2011,19184,12.28,,,,,,,,,,,,,
Daytrip,Other,2012,21606,12.80,,,,,,,,,,,,,
Daytrip,Other,2013,20655,12.30,,,,,,,,,,,,,
Daytrip,Other,2014,21671,12.65,,,,,,,,,,,,,
Daytrip,Other,2015,24134,13.73,,,,,,,,,,,,,
Daytrip,Other,2016,24701,13.13,,,,,,,,,,,,,
Daytrip,Other,2017,25475,13.62,,,,,,,,,,,,,
Daytrip,Other,2018,24487,12.13,,,,,,,,,,,,,
Daytrip,Other,2019,28668,12.61,,,,,,,,,,,,,
Daytrip,Other,Total,242564,12.48,,,,,,,,,,,,,
Overnight,Holiday,2009,30899,44.14,,,,,,,,,,,,,
Overnight,Holiday,2010,31165,44.64,,,,,,,,,,,,,
Overnight,Holiday,2011,30955,42.80,,,,,,,,,,,,,
Overnight,Holiday,2012,31074,41.31,,,,,,,,,,,,,
Overnight,Holiday,2013,32690,42.51,,,,,,,,,,,,,
Overnight,Holiday,2014,34351,41.73,,,,,,,,,,,,,
Overnight,Holiday,2015,34822,39.94,,,,,,,,,,,,,
Overnight,Holiday,2016,36890,40.47,,,,,,,,,,,,,
Overnight,Holiday,2017,37639,39.16,,,,,,,,,,,,,
Overnight,Holiday,2018,40826,39.23,,,,,,,,,,,,,
Overnight,Holiday,2019,45340,39.02,,,,,,,,,,,,,
Overnight,Holiday,Total,386652,41.08,,,,,,,,,,,,,
Overnight,Visiting Family and Friends,2009,23069,32.95,,,,,,,,,,,,,
Overnight,Visiting Family and Friends,2010,22475,32.20,,,,,,,,,,,,,
Overnight,Visiting Family and Friends,2011,23608,32.64,,,,,,,,,,,,,
Overnight,Visiting Family and Friends,2012,25886,34.41,,,,,,,,,,,,,
Overnight,Visiting Family and Friends,2013,26135,33.99,,,,,,,,,,,,,
Overnight,Visiting Family and Friends,2014,27767,33.73,,,,,,,,,,,,,
