Country,Continent,Year,Visitors,AverageStay,AverageMoney
New Zealand,Oceania,2009,996463,13,1310
New Zealand,Oceania,2010,1043873,14,1367
New Zealand,Oceania,2011,1060342,15,1398
New Zealand,Oceania,2012,1086417,15,1431
New Zealand,Oceania,2013,1093028,14,1374
New Zealand,Oceania,2014,1136500,13,1386
New Zealand,Oceania,2015,1188746,13,1429
New Zealand,Oceania,2016,1218931,12,1415
New Zealand,Oceania,2017,1232874,11,1318
New Zealand,Oceania,2018,1258895,10,1305
New Zealand,Oceania,2019,1299210,10,1255
New Zealand,Oceania,Total,12615279,13,1363
Japan,Asia,2009,331408,22,2527
Japan,Asia,2010,366698,22,2341
Japan,Asia,2011,305307,25,2557
Japan,Asia,2012,323693,30,2809
Japan,Asia,2013,303010,30,2671
Japan,Asia,2014,306190,28,2704
Japan,Asia,2015,314702,27,2564
Japan,Asia,2016,386500,24,2665
Japan,Asia,2017,399938,28,2763
Japan,Asia,2018,433649,25,2702
Japan,Asia,2019,457852,23,2706
Japan,Asia,Total,3928947,26,2637
Hong Kong,Asia,2009,131378,30,3369
Hong Kong,Asia,2010,137018,33,3884
Hong Kong,Asia,2011,141090,36,4027
Hong Kong,Asia,2012,148857,34,3528
Hong Kong,Asia,2013,167028,36,3901
Hong Kong,Asia,2014,184388,39,3824
Hong Kong,Asia,2015,199361,39,4308
Hong Kong,Asia,2016,225648,31,3872
Hong Kong,Asia,2017,256177,28,3724
Hong Kong,Asia,2018,279542,24,3470
Hong Kong,Asia,2019,284907,22,3590
Hong Kong,Asia,Total,2155394,32,3772
Singapore,Asia,2009,216301,22,2788
Singapore,Asia,2010,231785,19,2920
Singapore,Asia,2011,232958,20,3146
Singapore,Asia,2012,252173,21,2971
Singapore,Asia,2013,291019,17,2622
Singapore,Asia,2014,316868,16,2615
Singapore,Asia,2015,336698,19,2969
Singapore,Asia,2016,375167,16,2718
Singapore,Asia,2017,378895,16,2743
Singapore,Asia,2018,391599,15,2780
Singapore,Asia,2019,416524,14,2638
Singapore,Asia,Total,3439987,18,2810
Malaysia,Asia,2009,185743,35,3706
Malaysia,Asia,2010,203879,33,3632
Malaysia,Asia,2011,206461,31,3492
Malaysia,Asia,2012,224083,31,3485
Malaysia,Asia,2013,251085,25,2975
Malaysia,Asia,2014,291992,24,2823
Malaysia,Asia,2015,305611,25,2901
Malaysia,Asia,2016,349421,24,2824
Malaysia,Asia,2017,353452,25,3022
Malaysia,Asia,2018,356831,24,2965
Malaysia,Asia,2019,342886,22,2814
Malaysia,Asia,Total,3071444,27,3149
Indonesia,Asia,2009,95898,39,3623
Indonesia,Asia,2010,110023,40,3650
Indonesia,Asia,2011,123135,36,4050
Indonesia,Asia,2012,127382,35,3705
Indonesia,Asia,2013,131905,31,4211
Indonesia,Asia,2014,139824,33,3374
Indonesia,Asia,2015,141876,31,3338
Indonesia,Asia,2016,162011,31,3733
Indonesia,Asia,2017,173664,29,3143
Indonesia,Asia,2018,186257,30,3291
Indonesia,Asia,2019,197259,31,3460
Indonesia,Asia,Total,1589234,33,3598
Taiwan,Asia,2009,92932,46,3901
Taiwan,Asia,2010,81121,53,3778
Taiwan,Asia,2011,81040,73,4757
Taiwan,Asia,2012,92256,73,4505
Taiwan,Asia,2013,103803,81,4321
Taiwan,Asia,2014,113731,71,4424
Taiwan,Asia,2015,123018,79,4504
Taiwan,Asia,2016,152741,60,4369
Taiwan,Asia,2017,166680,59,3988
Taiwan,Asia,2018,186222,53,4020
Taiwan,Asia,2019,178105,52,3966
Taiwan,Asia,Total,1371649,64,4230
Thailand,Asia,2009,69220,50,4159
Thailand,Asia,2010,69575,49,4229
Thailand,Asia,2011,70385,47,4189
Thailand,Asia,2012,67346,49,3750
Thailand,Asia,2013,73138,47,3430
Thailand,Asia,2014,71659,54,3880
Thailand,Asia,2015,72884,47,3729
Thailand,Asia,2016,85196,51,3809
Thailand,Asia,2017,90925,55,4361
Thailand,Asia,2018,92523,45,3818
Thailand,Asia,2019,94501,46,4261
Thailand,Asia,Total,857352,49,3965
Korea,Asia,2009,172894,79,5954
Korea,Asia,2010,202872,67,4869
Korea,Asia,2011,189455,72,5389
Korea,Asia,2012,190624,67,5203
Korea,Asia,2013,185044,56,4373
Korea,Asia,2014,186973,54,4221
Korea,Asia,2015,207948,54,4434
Korea,Asia,2016,258088,48,4077
Korea,Asia,2017,276220,38,3904
Korea,Asia,2018,264080,39,4106
Korea,Asia,2019,254302,41,4204
Korea,Asia,Total,2388500,56,4612
China,Asia,2009,347256,54,5478
China,Asia,2010,429678,55,5321
China,Asia,2011,511273,50,5264
China,Asia,2012,594454,47,5196
China,Asia,2013,676191,45,5286
China,Asia,2014,795266,43,5198
