Country,Year,Visitors,,,,,,,,,,,,,,,,,
New Zealand,2009,996463,,,,,,,,,,,,,,,,,
New Zealand,2010,1043873,,,,,,,,,,,,,,,,,
New Zealand,2011,1060342,,,,,,,,,,,,,,,,,
New Zealand,2012,1086417,,,,,,,,,,,,,,,,,
New Zealand,2013,1093028,,,,,,,,,,,,,,,,,
New Zealand,2014,1136500,,,,,,,,,,,,,,,,,
New Zealand,2015,1188746,,,,,,,,,,,,,,,,,
New Zealand,2016,1218931,,,,,,,,,,,,,,,,,
New Zealand,2017,1232874,,,,,,,,,,,,,,,,,
New Zealand,2018,1258895,,,,,,,,,,,,,,,,,
New Zealand,2019,1299210,,,,,,,,,,,,,,,,,
Japan,2009,331408,,,,,,,,,,,,,,,,,
Japan,2010,366698,,,,,,,,,,,,,,,,,
Japan,2011,305307,,,,,,,,,,,,,,,,,
Japan,2012,323693,,,,,,,,,,,,,,,,,
Japan,2013,303010,,,,,,,,,,,,,,,,,
Japan,2014,306190,,,,,,,,,,,,,,,,,
Japan,2015,314702,,,,,,,,,,,,,,,,,
Japan,2016,386500,,,,,,,,,,,,,,,,,
Japan,2017,399938,,,,,,,,,,,,,,,,,
Japan,2018,433649,,,,,,,,,,,,,,,,,
Japan,2019,457852,,,,,,,,,,,,,,,,,
Hong Kong,2009,131378,,,,,,,,,,,,,,,,,
Hong Kong,2010,137018,,,,,,,,,,,,,,,,,
Hong Kong,2011,141090,,,,,,,,,,,,,,,,,
Hong Kong,2012,148857,,,,,,,,,,,,,,,,,
Hong Kong,2013,167028,,,,,,,,,,,,,,,,,
Hong Kong,2014,184388,,,,,,,,,,,,,,,,,
Hong Kong,2015,199361,,,,,,,,,,,,,,,,,
Hong Kong,2016,225648,,,,,,,,,,,,,,,,,
Hong Kong,2017,256177,,,,,,,,,,,,,,,,,
Hong Kong,2018,279542,,,,,,,,,,,,,,,,,
Hong Kong,2019,284907,,,,,,,,,,,,,,,,,
Singapore,2009,216301,,,,,,,,,,,,,,,,,
Singapore,2010,231785,,,,,,,,,,,,,,,,,
Singapore,2011,232958,,,,,,,,,,,,,,,,,
Singapore,2012,252173,,,,,,,,,,,,,,,,,
Singapore,2013,291019,,,,,,,,,,,,,,,,,
Singapore,2014,316868,,,,,,,,,,,,,,,,,
Singapore,2015,336698,,,,,,,,,,,,,,,,,
Singapore,2016,375167,,,,,,,,,,,,,,,,,
Singapore,2017,378895,,,,,,,,,,,,,,,,,
Singapore,2018,391599,,,,,,,,,,,,,,,,,
Singapore,2019,416524,,,,,,,,,,,,,,,,,
Malaysia,2009,185743,,,,,,,,,,,,,,,,,
Malaysia,2010,203879,,,,,,,,,,,,,,,,,
Malaysia,2011,206461,,,,,,,,,,,,,,,,,
Malaysia,2012,224083,,,,,,,,,,,,,,,,,
Malaysia,2013,251085,,,,,,,,,,,,,,,,,
Malaysia,2014,291992,,,,,,,,,,,,,,,,,
Malaysia,2015,305611,,,,,,,,,,,,,,,,,
Malaysia,2016,349421,,,,,,,,,,,,,,,,,
Malaysia,2017,353452,,,,,,,,,,,,,,,,,
Malaysia,2018,356831,,,,,,,,,,,,,,,,,
Malaysia,2019,342886,,,,,,,,,,,,,,,,,
Indonesia,2009,95898,,,,,,,,,,,,,,,,,
Indonesia,2010,110023,,,,,,,,,,,,,,,,,
Indonesia,2011,123135,,,,,,,,,,,,,,,,,
Indonesia,2012,127382,,,,,,,,,,,,,,,,,
Indonesia,2013,131905,,,,,,,,,,,,,,,,,
Indonesia,2014,139824,,,,,,,,,,,,,,,,,
Indonesia,2015,141876,,,,,,,,,,,,,,,,,
Indonesia,2016,162011,,,,,,,,,,,,,,,,,
Indonesia,2017,173664,,,,,,,,,,,,,,,,,
Indonesia,2018,186257,,,,,,,,,,,,,,,,,
Indonesia,2019,197259,,,,,,,,,,,,,,,,,
Taiwan,2009,92932,,,,,,,,,,,,,,,,,
Taiwan,2010,81121,,,,,,,,,,,,,,,,,
Taiwan,2011,81040,,,,,,,,,,,,,,,,,
Taiwan,2012,92256,,,,,,,,,,,,,,,,,
Taiwan,2013,103803,,,,,,,,,,,,,,,,,
Taiwan,2014,113731,,,,,,,,,,,,,,,,,
Taiwan,2015,123018,,,,,,,,,,,,,,,,,
Taiwan,2016,152741,,,,,,,,,,,,,,,,,
Taiwan,2017,166680,,,,,,,,,,,,,,,,,
Taiwan,2018,186222,,,,,,,,,,,,,,,,,
Taiwan,2019,178105,,,,,,,,,,,,,,,,,
Thailand,2009,69220,,,,,,,,,,,,,,,,,
Thailand,2010,69575,,,,,,,,,,,,,,,,,
Thailand,2011,70385,,,,,,,,,,,,,,,,,
Thailand,2012,67346,,,,,,,,,,,,,,,,,
Thailand,2013,73138,,,,,,,,,,,,,,,,,
Thailand,2014,71659,,,,,,,,,,,,,,,,,
Thailand,2015,72884,,,,,,,,,,,,,,,,,
Thailand,2016,85196,,,,,,,,,,,,,,,,,
Thailand,2017,90925,,,,,,,,,,,,,,,,,
Thailand,2018,92523,,,,,,,,,,,,,,,,,
Thailand,2019,94501,,,,,,,,,,,,,,,,,
Korea,2009,172894,,,,,,,,,,,,,,,,,
Korea,2010,202872,,,,,,,,,,,,,,,,,
Korea,2011,189455,,,,,,,,,,,,,,,,,
Korea,2012,190624,,,,,,,,,,,,,,,,,
Korea,2013,185044,,,,,,,,,,,,,,,,,
Korea,2014,186973,,,,,,,,,,,,,,,,,
Korea,2015,207948,,,,,,,,,,,,,,,,,
Korea,2016,258088,,,,,,,,,,,,,,,,,
Korea,2017,276220,,,,,,,,,,,,,,,,,
Korea,2018,264080,,,,,,,,,,,,,,,,,
Korea,2019,254302,,,,,,,,,,,,,,,,,
China,2009,347256,,,,,,,,,,,,,,,,,
China,2010,429678,,,,,,,,,,,,,,,,,
China,2011,511273,,,,,,,,,,,,,,,,,
China,2012,594454,,,,,,,,,,,,,,,,,
China,2013,676191,,,,,,,,,,,,,,,,,
China,2014,795266,,,,,,,,,,,,,,,,,
China,2015,960152,,,,,,,,,,,,,,,,,
China,2016,1124483,,,,,,,,,,,,,,,,,
China,2017,1257188,,,,,,,,,,,,,,,,,
China,2018,1322046,,,,,,,,,,,,,,,,,
China,2019,1328180,,,,,,,,,,,,,,,,,
India,2009,112151,,,,,,,,,,,,,,,,,
India,2010,130122,,,,,,,,,,,,,,,,,
India,2011,140356,,,,,,,,,,,,,,,,,
India,2012,153886,,,,,,,,,,,,,,,,,
India,2013,165930,,,,,,,,,,,,,,,,,
India,2014,188155,,,,,,,,,,,,,,,,,
India,2015,221604,,,,,,,,,,,,,,,,,
India,2016,247056,,,,,,,,,,,,,,,,,
India,2017,284721,,,,,,,,,,,,,,,,,
India,2018,335816,,,,,,,,,,,,,,,,,
India,2019,376666,,,,,,,,,,,,,,,,,
Other Asia,2009,132478,,,,,,,,,,,,,,,,,
Other Asia,2010,147590,,,,,,,,,,,,,,,,,
Other Asia,2011,153964,,,,,,,,,,,,,,,,,
Other Asia,2012,172494,,,,,,,,,,,,,,,,,
Other Asia,2013,178533,,,,,,,,,,,,,,,,,
Other Asia,2014,201064,,,,,,,,,,,,,,,,,
Other Asia,2015,234453,,,,,,,,,,,,,,,,,
Other Asia,2016,278989,,,,,,,,,,,,,,,,,
Other Asia,2017,334162,,,,,,,,,,,,,,,,,
Other Asia,2018,390312,,,,,,,,,,,,,,,,,
Other Asia,2019,434870,,,,,,,,,,,,,,,,,
United States of America,2009,457494,,,,,,,,,,,,,,,,,
United States of America,2010,447564,,,,,,,,,,,,,,,,,
United States of America,2011,442868,,,,,,,,,,,,,,,,,
United States of America,2012,473655,,,,,,,,,,,,,,,,,
United States of America,2013,488721,,,,,,,,,,,,,,,,,
United States of America,2014,532512,,,,,,,,,,,,,,,,,
United States of America,2015,585795,,,,,,,,,,,,,,,,,
United States of America,2016,674538,,,,,,,,,,,,,,,,,
United States of America,2017,734233,,,,,,,,,,,,,,,,,
United States of America,2018,744072,,,,,,,,,,,,,,,,,
United States of America,2019,767023,,,,,,,,,,,,,,,,,
Canada,2009,127135,,,,,,,,,,,,,,,,,
Canada,2010,127903,,,,,,,,,,,,,,,,,
Canada,2011,124316,,,,,,,,,,,,,,,,,
Canada,2012,129142,,,,,,,,,,,,,,,,,
Canada,2013,129776,,,,,,,,,,,,,,,,,
Canada,2014,133099,,,,,,,,,,,,,,,,,
Canada,2015,134819,,,,,,,,,,,,,,,,,
Canada,2016,143808,,,,,,,,,,,,,,,,,
Canada,2017,158132,,,,,,,,,,,,,,,,,
Canada,2018,171574,,,,,,,,,,,,,,,,,
Canada,2019,178160,,,,,,,,,,,,,,,,,
United Kingdom,2009,644847,,,,,,,,,,,,,,,,,
United Kingdom,2010,633621,,,,,,,,,,,,,,,,,
United Kingdom,2011,599640,,,,,,,,,,,,,,,,,
United Kingdom,2012,590053,,,,,,,,,,,,,,,,,
United Kingdom,2013,632155,,,,,,,,,,,,,,,,,
United Kingdom,2014,621200,,,,,,,,,,,,,,,,,
United Kingdom,2015,649432,,,,,,,,,,,,,,,,,
United Kingdom,2016,672834,,,,,,,,,,,,,,,,,
United Kingdom,2017,690276,,,,,,,,,,,,,,,,,
United Kingdom,2018,688419,,,,,,,,,,,,,,,,,
United Kingdom,2019,671505,,,,,,,,,,,,,,,,,
Germany,2009,159839,,,,,,,,,,,,,,,,,
Germany,2010,160739,,,,,,,,,,,,,,,,,
Germany,2011,155371,,,,,,,,,,,,,,,,,
Germany,2012,155180,,,,,,,,,,,,,,,,,
Germany,2013,163728,,,,,,,,,,,,,,,,,
Germany,2014,177316,,,,,,,,,,,,,,,,,
Germany,2015,178745,,,,,,,,,,,,,,,,,
